date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,CHUnked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:50:42	118/118	---M-Z	200	added ('OK')	text/plain	date:Wed,%2028%20May%202025%2002:50:42%20GMT	https://cobra-tate.com/robots.txt		(from )
19:50:42	148160/148160	---M-Z	200	added ('OK')	text/html	etag:%22242c0-6194a39a87324-gzip%22	https://cobra-tate.com/	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/index.html	(from )
19:50:43	116866/116866	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268351db0-1c882%22	https://cobra-tate.com/wp-content/uploads/matomo/container_mojN7KTG.js	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/wp-content/uploads/matomo/container_mojN7KTG.js	(from https://cobra-tate.com/)
19:50:44	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2028%20May%202025%2002:50:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/www.googletagmanager.com/gtm.25445.delayed	(from https://cobra-tate.com/)
19:50:44	7772/7772	---MCZ	200	added ('OK')	text/css	etag:W/%22644ead5c-1e5c%22	https://cobra-tate.com/css/normalize.css	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/css/normalize.css	(from https://cobra-tate.com/)
19:50:44	39487/39487	---MCZ	200	added ('OK')	text/css	etag:W/%22644ead5b-9a3f%22	https://cobra-tate.com/css/components.css	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/css/components.css	(from https://cobra-tate.com/)
19:50:45	387291/387291	---MCZ	200	added ('OK')	text/css	etag:W/%22644ead5c-5e8db%22	https://cobra-tate.com/css/HU-4-0.css	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/css/HU-4-0.css	(from https://cobra-tate.com/)
19:50:46	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://cobra-tate.com/)
19:50:46	2364/2364	---M--	200	added ('OK')	image/png	etag:%22644ea80e-93c%22	https://cobra-tate.com/images/favicon.png	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/favicon.png	(from https://cobra-tate.com/)
19:50:46	148160/148160	---MCZ	200	added ('OK')	text/html	etag:W/%226652193d-242c0%22	https://cobra-tate.com/index.html	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/index-2.html	(from https://cobra-tate.com/)
19:50:46	66967/66967	---M--	200	added ('OK')	image/png	etag:%22644ea80e-10597%22	https://cobra-tate.com/images/webclip.png	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/webclip.png	(from https://cobra-tate.com/)
19:50:47	19244/19244	---M--	200	added ('OK')	image/webp	etag:%22644ea80e-4b2c%22	https://cobra-tate.com/images2/img2.png	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images2/img2.png	(from https://cobra-tate.com/)
19:50:47	3386/3386	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-d3a%22	https://cobra-tate.com/images/a1.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a1.webp	(from https://cobra-tate.com/)
19:50:48	3722/3722	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-e8a%22	https://cobra-tate.com/images/a2.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a2.webp	(from https://cobra-tate.com/)
19:50:48	4368/4368	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-1110%22	https://cobra-tate.com/images/a3.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a3.webp	(from https://cobra-tate.com/)
19:50:48	3849/3849	---M--	200	added ('OK')	image/png	etag:%22644ea80d-f09%22	https://cobra-tate.com/images/a4.png	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a4.png	(from https://cobra-tate.com/)
19:50:48	3574/3574	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-df6%22	https://cobra-tate.com/images/a5.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a5.webp	(from https://cobra-tate.com/)
19:50:49	2060/2060	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-80c%22	https://cobra-tate.com/images/a6.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a6.webp	(from https://cobra-tate.com/)
19:50:49	3998/3998	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-f9e%22	https://cobra-tate.com/images/a7.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a7.webp	(from https://cobra-tate.com/)
19:50:49	3584/3584	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-e00%22	https://cobra-tate.com/images/a8.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/a8.webp	(from https://cobra-tate.com/)
19:50:50	6326/6326	---M--	200	added ('OK')	image/webp	etag:%22644ea80e-18b6%22	https://cobra-tate.com/images/Group.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/Group.webp	(from https://cobra-tate.com/)
19:50:50	153866/153866	---M--	200	added ('OK')	image/webp	etag:%22644ea80e-2590a%22	https://cobra-tate.com/images/Tates.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/Tates.webp	(from https://cobra-tate.com/)
19:50:51	81594/81594	---M--	200	added ('OK')	image/webp	etag:%22644ea80d-13eba%22	https://cobra-tate.com/images/b1.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/b1.webp	(from https://cobra-tate.com/)
19:50:51	250312/250312	---M--	200	added ('OK')	image/webp	etag:%22644ea80e-3d1c8%22	https://cobra-tate.com/images/polaroid01.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/polaroid01.webp	(from https://cobra-tate.com/)
19:50:51	342598/342598	---M--	200	added ('OK')	image/webp	etag:%22644ea80e-53a46%22	https://cobra-tate.com/images/polaroid02.webp	C:/Users/HP/Documents/File/WEBSITE/MAIN%20COBRA/cobra-tate.com/images/polaroid02.webp	(from https://cobra-tate.com/)
